"Summary","Issue Type","Priority","Labels","Description"
"Offline Network Catch Injects Invalid Demo Tokens Causing Auth Loops","Bug","High","auth mobile offline asyncstorage react-native p1-high","[SEVERITY & IMPACT]
P1 - App Usability & Authentication Lockout.
When user logs in during spotty network connectivity, the mobile app writes a dummy demo token into AsyncStorage. Once connection resumes, every subsequent API call is rejected with HTTP 401.

[AFFECTED FILES & LINES]
- fitempire-mobile/src/services/auth-context.tsx (Lines 107-122)

[TECHNICAL ROOT CAUSE]
Inside login(), if apiErr has no response (offline/timeout), fallback code stores:
await AsyncStorage.setItem('fitempire_access_token', 'demo_member_jwt_token');
setUser(demoUser);
setIsAuthenticated(true);

[STEPS TO REPRODUCE]
1. Open mobile app in airplane mode or unstable network.
2. Attempt login.
3. App transitions to Home screen using dummy token.
4. Disable airplane mode.
5. All subsequent requests fail with 401 Unauthorized because 'demo_member_jwt_token' is rejected by the backend.

[EXPECTED BEHAVIOR]
Offline login attempts should display an error alert: ""No internet connection. Please try again."" without mutating AsyncStorage.

[ACTUAL BEHAVIOR]
App falsely reports successful login with invalid tokens.

[PROPOSED RESOLUTION]
Remove dummy token fallback in catch blocks and throw an explicit NetworkError."
"Axios 401 Response Interceptor Lacks Mutex Locking During Token Refresh","Bug","High","networking mobile axios interceptor refresh-token p1-high","[SEVERITY & IMPACT]
P1 - Random User Logout.
When access token expires, multiple parallel queries fire /auth/refresh simultaneously. Because refresh tokens are single-use, subsequent calls fail, wiping AsyncStorage and logging the user out.

[AFFECTED FILES & LINES]
- fitempire-mobile/src/services/api.ts (Lines 33-60)

[TECHNICAL ROOT CAUSE]
apiClient.interceptors.response lacks an isRefreshing mutex lock or request queue. Concurrent 401s each trigger independent refresh requests.

[STEPS TO REPRODUCE]
1. Set access token expiration to 1 minute.
2. Wait for token to expire.
3. Open the app; Home screen executes getProfile(), getMyActiveMemberships(), and getWallet() in parallel.
4. Three concurrent refresh calls fire. Two fail with ""Invalid Refresh Token"".
5. App calls logOut() and redirects user to login screen.

[EXPECTED BEHAVIOR]
Only one refresh request should fire. Other requests should wait in a queue and replay with the newly acquired access token.

[ACTUAL BEHAVIOR]
Multiple refresh calls race, causing session destruction.

[PROPOSED RESOLUTION]
Implement an isRefreshing flag and failedQueue subscriber pattern in the Axios interceptor."
"Timezone Shift Bug in Date Formatting Leads to Off-By-One Day Bookings","Bug","High","timezone dates mobile booking ist expo p1-high","[SEVERITY & IMPACT]
P1 - Booking Date Corruption.
Users booking gym slots between 12:00 AM and 5:29 AM IST unintentionally book slots for yesterday's date due to UTC conversion.

[AFFECTED FILES & LINES]
- fitempire-mobile/src/app/booking.tsx (Lines 81, 100)

[TECHNICAL ROOT CAUSE]
Code converts date using selectedDate.toISOString().split('T')[0]. In India (UTC+5:30), toISOString() converts local time to UTC, shifting early morning hours to the previous calendar day.

[STEPS TO REPRODUCE]
1. Set device clock to 2:30 AM IST on September 9th.
2. Open Booking screen and select ""Today"".
3. Click Confirm Booking.
4. Payload sends bookingDate: ""2026-09-08"" instead of ""2026-09-09"".

[EXPECTED BEHAVIOR]
Booking date string should represent local device calendar date.

[ACTUAL BEHAVIOR]
Date shifts back by one day during early morning hours.

[PROPOSED RESOLUTION]
Format dates using local components:
const year = date.getFullYear();
const month = String(date.getMonth() + 1).padStart(2, '0');
const day = String(date.getDate()).padStart(2, '0');
const dateStr = `${year}-${month}-${day}`;"
"Hardcoded Dummy UUID Fallbacks in Booking Flow Cause DB Foreign Key Violations","Bug","High","validation mobile uuid foreign-key api-error p1-high","[SEVERITY & IMPACT]
P1 - User Flow Crash.
When navigation parameters are missing, fallback dummy UUIDs trigger 404/500 database foreign key violations instead of user-friendly validation.

[AFFECTED FILES & LINES]
- fitempire-mobile/src/app/booking.tsx (Lines 102-103)

[TECHNICAL ROOT CAUSE]
handleConfirmBooking uses hardcoded fallbacks:
gymId: params.gymId || '11111111-1111-1111-1111-111111111111',
branchId: params.branchId || '22222222-2222-2222-2222-222222222222',
These UUIDs do not exist in the production database.

[STEPS TO REPRODUCE]
1. Direct link or route to /booking without query params.
2. Select a slot and click confirm.
3. Backend returns 404 ResourceNotFoundException or 500 DB constraint failure.

[EXPECTED BEHAVIOR]
Screen should validate params.gymId on mount and navigate back with an alert if parameters are missing.

[ACTUAL BEHAVIOR]
Fake UUIDs are submitted to the live backend.

[PROPOSED RESOLUTION]
Validate parameters in useEffect():
if (!params.gymId || !params.branchId) {
    Alert.alert('Error', 'Invalid gym selection. Please select a gym first.');
    router.replace('/(tabs)/explore');
}"
"Digital Pass Client-Side Random Token Regeneration Bypasses Backend Validation","Bug","High","security qr-pass mobile turnstile token p1-high","[SEVERITY & IMPACT]
P1 - Broken Check-In Experience.
When the 60-second in-app QR timer expires, the ticket regenerates a local client-side random string that does not exist in the backend database, causing gym turnstiles to reject the pass.

[AFFECTED FILES & LINES]
- fitempire-mobile/src/app/(tabs)/ticket.tsx (Lines 33-48)

[TECHNICAL ROOT CAUSE]
ticket.tsx setInterval calls generateFreshToken():
const generateFreshToken = () => {
  const randomSuffix = Math.floor(100000 + Math.random() * 900000);
  setQrToken(`EMPIRE-TOKEN-${randomSuffix}-${Date.now().toString().slice(-4)}`);
};
This creates an unsynchronized client token without updating the server.

[STEPS TO REPRODUCE]
1. Open Digital Entry Ticket screen.
2. Wait 60 seconds until the countdown reaches 0.
3. QR code refreshes to a random token.
4. Scan with partner app; verification fails with ""Pass not found"".

[EXPECTED BEHAVIOR]
Token refresh must invoke bookingsApi.refreshQr(bookingId) to retrieve a server-signed rotated token.

[ACTUAL BEHAVIOR]
Local pseudo-random token is generated client-side.

[PROPOSED RESOLUTION]
Replace generateFreshToken with an async API call to /bookings/{id}/refresh-qr."
"Partner Portal Rigid 420px Mobile Phone Frame Breaks Desktop/Tablet Usability","Improvement","Medium","ui-ux responsive partner layout web p2-medium","[SEVERITY & IMPACT]
P2 - Desktop Usability Issue.
Partner gym managers and receptionists running the web portal on desktop monitors see a narrow 420px mobile mockup container with clipped tables and awkward scrollbars.

[AFFECTED FILES & LINES]
- fitempire-partner/src/pages/LoginPage.tsx (Lines 67-85)
- fitempire-partner/src/App.tsx

[TECHNICAL ROOT CAUSE]
The application layout is hardcoded inside a simulated phone frame:
maxWidth: '420px',
border: '10px solid #1E293B',
borderRadius: '36px'

[STEPS TO REPRODUCE]
1. Open https://fitempirepartner.vercel.app on a 1920x1080 display.
2. The entire web portal is squeezed into a 420px phone graphic in the center of the screen.

[EXPECTED BEHAVIOR]
On screens >= 768px, render a full-width responsive dashboard with left sidebar navigation.

[ACTUAL BEHAVIOR]
Desktop users are forced to interact through a mobile phone mockup frame.

[PROPOSED RESOLUTION]
Add media queries in index.css to remove mobile framing on screens wider than 768px."
"Phantom Shopping Cart: Missing State Persistence & Checkout Pipeline","Bug","Medium","ecommerce mobile store cart checkout p2-medium","[SEVERITY & IMPACT]
P2 - Incomplete E-Commerce Feature.
Users cannot view cart items, modify quantities, enter delivery addresses, or complete store purchases.

[AFFECTED FILES & LINES]
- fitempire-mobile/src/app/store.tsx (Lines 132-155)

[TECHNICAL ROOT CAUSE]
handleAddToCart() simply increments a numeric counter and shows an alert. No cart array, product IDs, or prices are stored. Clicking the cart icon displays an Alert dialog without navigating to checkout.

[STEPS TO REPRODUCE]
1. Open FitEmpire Store in mobile app.
2. Click 'Add' on any product.
3. Click the Shopping Bag icon.
4. An Alert dialog appears: ""3 items in cart"" with no option to checkout or purchase.

[EXPECTED BEHAVIOR]
Tapping cart should open a dedicated Cart/Checkout screen showing itemized costs, address selector, and Razorpay payment button.

[ACTUAL BEHAVIOR]
Store has only an alert dialog without cart state or checkout pipeline.

[PROPOSED RESOLUTION]
Create CartContext with AsyncStorage backing, create /cart screen, and integrate with backend orders API."
"FitEmpire TV Lacks Streaming Player Engine (Triggers Native Alert on Click)","Bug","Medium","streaming mobile tv video media p2-medium","[SEVERITY & IMPACT]
P2 - Incomplete Media Feature.
FitEmpire TV workout videos cannot be played; clicking play triggers a native Alert popup instead of video streaming.

[AFFECTED FILES & LINES]
- fitempire-mobile/src/app/tv.tsx (Lines 96-100)

[TECHNICAL ROOT CAUSE]
handlePlay() only shows an Alert modal:
Alert.alert('Streaming Live Workout 📺', `Playing ""${video.title}"". Connect Bluetooth audio or Chromecast to TV.`);
No video player component is embedded.

[STEPS TO REPRODUCE]
1. Navigate to FitEmpire TV screen.
2. Tap the large play button on the featured workout video.
3. An Alert modal pops up instead of video playback.

[EXPECTED BEHAVIOR]
Tapping play should stream the workout video using a native player with pause, seek, and fullscreen controls.

[ACTUAL BEHAVIOR]
Video player is replaced with an Alert box.

[PROPOSED RESOLUTION]
Embed expo-av Video or react-native-video component to stream MP4/HLS feeds."
"Partner Settlements: 'Request Instant Payout' Action is an Unconnected No-Op Mock","Bug","Medium","finance partner settlements payout no-op p2-medium","[SEVERITY & IMPACT]
P2 - Financial Workflow Failure.
Gym partners clicking ""Request Instant Payout"" receive a confirmation toast, but no payout request is transmitted to the backend.

[AFFECTED FILES & LINES]
- fitempire-partner/src/pages/SettlementsPage.tsx (Lines 52-55)

[TECHNICAL ROOT CAUSE]
handleRequestPayout() only toggles a local boolean flag for 4 seconds:
const handleRequestPayout = () => {
  setPayoutSuccess(true);
  setTimeout(() => setPayoutSuccess(false), 4000);
};

[STEPS TO REPRODUCE]
1. Open Partner Portal -> Earnings & Payouts (/settlements).
2. Click ""Request Instant Payout"".
3. Green notification displays: ""Payout request initiated to bank account!"".
4. Check browser Network tab; zero HTTP requests were made.

[EXPECTED BEHAVIOR]
Button must send POST request to /api/v1/partners/payouts/request and deduct available balance upon success.

[ACTUAL BEHAVIOR]
No-op mock action with fake visual confirmation.

[PROPOSED RESOLUTION]
Connect button to partnerApi.requestPayout() and display real server confirmation."
"AI Workout & Calorie Tracker Ignores Server Recommendations & Resets Logged Data","Bug","Medium","ai mobile workout nutrition persistence p2-medium","[SEVERITY & IMPACT]
P2 - Personalization & State Persistence Defect.
AI workout recommendations ignore user inputs, discard backend API responses in favor of static client arrays, and lose all user-logged meals when leaving the screen.

[AFFECTED FILES & LINES]
- fitempire-mobile/src/app/ai-workout.tsx (Lines 61-107)

[TECHNICAL ROOT CAUSE]
1. handleAiGenerateWorkout calls aiApi.generateWorkout() without parameters and discards the returned payload.
2. Logged meals and macros are held only in local component state without AsyncStorage or backend synchronization.

[STEPS TO REPRODUCE]
1. Open AI Workout screen and select ""Nutrition"" tab.
2. Add a custom meal with 500 calories.
3. Navigate to Home tab and return to AI Workout.
4. Logged meal is gone; calories revert to default 1650.

[EXPECTED BEHAVIOR]
Workouts should reflect server AI recommendations, and logged meals should persist across app sessions.

[ACTUAL BEHAVIOR]
Static client-side routines and ephemeral state reset on navigation.

[PROPOSED RESOLUTION]
1. Pass parameters to aiApi.generateWorkout({ muscleGroup, fitnessLevel }) and update state with server response.
2. Persist food log entries in AsyncStorage or POST to /api/v1/ecosystem/nutrition/logs."
"Hibernate DDL-Auto Update Enabled in Production with Inactive Flyway Migrations","Improvement","Low","backend infrastructure","[SEVERITY & IMPACT]
P3 - Architecture / Technical Debt. Risk of schema corruption and production drift.
spring.jpa.hibernate.ddl-auto: update dynamically alters production database schemas without audit, validation, or rollback capability, while Flyway versioned migrations (flyway.enabled: false) are disabled.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/resources/application.yml (Lines 24, 54-55)

[TECHNICAL ROOT CAUSE]
Hibernate automatic update schema modifications can unexpectedly alter column types or lock tables during concurrent application restarts in clustered production deployments. Best practice demands disabling ddl-auto (or setting to validate) and delegating all DDL to version-controlled Flyway scripts.

[STEPS TO REPRODUCE]
1. Open fitempire-backend/src/main/resources/application.yml.
2. Inspect line 24: ddl-auto: ${SPRING_JPA_HIBERNATE_DDL_AUTO:update}.
3. Inspect line 55: flyway.enabled: false.

[EXPECTED BEHAVIOR]
Production database schema changes must be driven exclusively by versioned Flyway migrations with ddl-auto set to validate or none.

[ACTUAL BEHAVIOR]
Hibernate runs unrestricted schema updates on production startup with Flyway disabled.

[PROPOSED RESOLUTION]
1. Set spring.jpa.hibernate.ddl-auto to validate in production profiles.
2. Set spring.flyway.enabled to true and manage table alterations via src/main/resources/db/migration scripts."
