"Summary","Issue Type","Priority","Component","Description"
"Offline Network Catch Injects Invalid Demo Tokens Causing Auth Loops","Bug","High","Mobile App - Auth","Affected File: fitempire-mobile/src/services/auth-context.tsx (Lines 107-122)

Description:
When login network request fails without a response, catch block stores dummy demo token 'demo_member_jwt_token' into AsyncStorage and marks user authenticated.

Impact:
When connectivity resumes, subsequent network requests attach an invalid JWT, resulting in persistent 401 error loops.

Proposed Fix:
Remove demo token injection in catch block and display network error dialog to user."
"Axios 401 Response Interceptor Lacks Mutex Locking During Token Refresh","Bug","High","Mobile App - Networking","Affected File: fitempire-mobile/src/services/api.ts (Lines 33-60)

Description:
When multiple concurrent requests return 401 upon token expiration, each request independently triggers /auth/refresh. The first succeeds and rotates token; second fails, wiping storage and logging user out.

Impact:
Users are abruptly logged out upon opening the app whenever the access token expires.

Proposed Fix:
Implement an isRefreshing mutex lock flag and subscriber queue in Axios response interceptor."
"Timezone Shift Bug in Date Formatting Leads to Off-By-One Day Bookings","Bug","High","Mobile App - Bookings","Affected File: fitempire-mobile/src/app/booking.tsx (Lines 81, 100)

Description:
Dates are converted using selectedDate.toISOString().split('T')[0]. In India Standard Time (UTC+5:30), timestamps before 05:30 AM evaluate to yesterday's date in UTC.

Impact:
Early morning bookings book slots for the previous calendar day, causing booking rejections or missing slots.

Proposed Fix:
Format date using local date components: `${year}-${month}-${day}`."
"Hardcoded Dummy UUID Fallbacks in Booking Flow Cause DB Foreign Key Violations","Bug","High","Mobile App - Bookings","Affected File: fitempire-mobile/src/app/booking.tsx (Lines 102-103)

Description:
When navigation parameters are omitted or unparsed, booking flow injects fallback UUIDs '11111111-1111-1111-1111-111111111111' and '22222222-2222-2222-2222-222222222222'.

Impact:
Submitting non-existent UUIDs causes backend 404/500 Foreign Key constraint violations instead of guiding user with client-side validation.

Proposed Fix:
Validate route parameters upon screen mount and redirect back if missing."
"Digital Pass Client-Side Random Token Regeneration Bypasses Backend Validation","Bug","High","Mobile App - Digital Pass","Affected File: fitempire-mobile/src/app/(tabs)/ticket.tsx (Lines 33-48)

Description:
When the 60-second countdown elapses, ticket.tsx generates a random client-side string rather than calling the backend rotation endpoint.

Impact:
The renewed QR code on member phone no longer matches any record in the backend database, causing turnstile verification failures.

Proposed Fix:
Call bookingsApi.refreshQr(bookingId) on timer expiration to fetch a server-signed token."
"Partner Portal Rigid 420px Mobile Phone Frame Breaks Desktop/Tablet Usability","Improvement","Medium","Partner Portal - UI","Affected Files: fitempire-partner/src/pages/LoginPage.tsx (Lines 67-85), App.tsx

Description:
Partner portal layout is restricted to a 420px mobile mockup container (maxWidth: 420px, border: 10px solid #1E293B) even on desktop browsers.

Impact:
Gym receptionists using desktop computers or tablets see an artificially constrained mobile container where tables and charts overflow.

Proposed Fix:
Adopt a responsive desktop sidebar dashboard layout on min-width: 768px breakpoints."
"Phantom Shopping Cart: Missing State Persistence & Checkout Pipeline","Bug","Medium","Mobile App - Store","Affected File: fitempire-mobile/src/app/store.tsx (Lines 132-155)

Description:
'Add to Cart' increments a numeric counter and displays an alert. No cart array, product IDs, quantities, or prices are preserved, and clicking cart displays an alert without checkout.

Impact:
Users cannot review cart items, specify quantities, provide shipping addresses, or execute store purchases.

Proposed Fix:
Create a CartContext with persistent storage (useCart), build a dedicated /cart screen, and connect to ordersApi.createOrder()."
"FitEmpire TV Lacks Streaming Player Engine (Triggers Native Alert on Click)","Bug","Medium","Mobile App - TV","Affected File: fitempire-mobile/src/app/tv.tsx (Lines 96-100)

Description:
The playback button in FitEmpire TV executes an alert box rather than instantiating a video player component.

Impact:
Video workout content cannot be viewed within the mobile application.

Proposed Fix:
Integrate expo-av or react-native-video to stream workout MP4/HLS feeds with full-screen playback and controls."
"Partner Settlements: 'Request Instant Payout' Action is an Unconnected No-Op Mock","Bug","Medium","Partner Portal - Settlements","Affected File: fitempire-partner/src/pages/SettlementsPage.tsx (Lines 52-55)

Description:
Clicking 'Request Instant Payout' updates a local state flag for 4 seconds without issuing a backend request.

Impact:
Gym partners believe they have initiated a bank withdrawal, but no payout request is recorded or queued in the financial service.

Proposed Fix:
Connect the action to partnerApi.requestPayout({ amount: stats.availableBalance }) and update the balance ledger based on server response."
"AI Workout & Calorie Tracker Ignores Server Recommendations & Resets Logged Data","Bug","Medium","Mobile App - AI","Affected File: fitempire-mobile/src/app/ai-workout.tsx (Lines 61-107)

Description:
In handleAiGenerateWorkout, aiApi.generateWorkout() is called without user parameters and response is discarded in favor of hardcoded local exercise arrays. In addition, logged meals are stored only in component state.

Impact:
AI personalization does not adapt to user targets, and all user-logged calories and macronutrients are lost when leaving the screen.

Proposed Fix:
Pass user parameters to aiApi.generateWorkout({ muscleGroup, fitnessLevel }) and persist food log entries in AsyncStorage or backend."
