"Summary","Issue Type","Priority","Labels","Description"
"Real-Time Desk Sync in Partner Attendance Lacks WebSocket or SSE Transport","Improvement","Low","frontend bookings","[SEVERITY & IMPACT]
P3 - Usability & Multi-Terminal Sync Enhancement.
Partner attendance page claims ""Live Desk Sync"", but updates only reflect on manual page reload or local window custom events within the same browser tab, failing multi-desk front-office setups.

[AFFECTED FILES & LINES]
- fitempire-partner/src/pages/AttendancePage.tsx (Lines 50-65)

[TECHNICAL ROOT CAUSE]
AttendancePage relies on window.addEventListener('fitempire:checkin'), which only captures events dispatched within the exact same browser tab and cannot receive check-ins from turnstile kiosks or secondary front desks.

[STEPS TO REPRODUCE]
1. Open partner portal attendance page on Desk Terminal 1.
2. Check in a member via QR scanner on Turnstile Tablet 2.
3. Desk Terminal 1 does not update attendance list without manual page reload.

[EXPECTED BEHAVIOR]
Check-ins should broadcast in real-time to all connected partner terminals via WebSocket (STOMP) or Server-Sent Events (SSE).

[ACTUAL BEHAVIOR]
Attendance feed requires manual refresh to see check-ins performed on other devices.

[PROPOSED RESOLUTION]
Subscribe to partner check-in event stream via WebSocket or SSE (/api/v1/partner/attendance/stream) and update table records dynamically on receipt."
"Partner Batch Creation and Attendance Toggles Never Persist to Backend API","Bug","Medium","frontend classes","[SEVERITY & IMPACT]
P2 - Data Loss in Partner Class Scheduling.
Gym partners creating new workout batches or toggling member attendance lose all updates when reloading the page because actions are purely client-side React array mutations.

[AFFECTED FILES & LINES]
- fitempire-partner/src/pages/ClassesPage.tsx (Lines 81-98, 101-117)

[TECHNICAL ROOT CAUSE]
handleAddClass executes setClasses([newClass, ...classes]) and toggleMemberAttended mutates in-memory state without dispatching POST / PUT requests to partner class endpoints.

[STEPS TO REPRODUCE]
1. In partner portal, navigate to Classes page.
2. Click ""Add Batch"", enter ""Zumba Power Hour, 07:00 PM, Coach Priya, 25 Capacity"" and submit.
3. Batch appears in list.
4. Refresh browser page (F5).
5. Created batch is gone.

[EXPECTED BEHAVIOR]
Batch creation and attendance updates should persist to backend database via REST API.

[ACTUAL BEHAVIOR]
All modifications are ephemeral React state wiped on page reload.

[PROPOSED RESOLUTION]
Connect handleAddClass to partnerApi.createClass(payload) and toggleMemberAttended to partnerApi.updateAttendance(classId, memberId)."
"Partner Gym Profile Save Action Executes Mock Timeout Without API Submission","Bug","Medium","frontend profile","[SEVERITY & IMPACT]
P2 - Profile Configuration Not Saved.
Gym owners updating operating hours, contact details, monthly pricing, or amenities receive a green ""Saved successfully"" indicator, but no data is sent to the backend database.

[AFFECTED FILES & LINES]
- fitempire-partner/src/pages/GymProfilePage.tsx (Lines 122-129)

[TECHNICAL ROOT CAUSE]
handleSave executes await new Promise(r => setTimeout(r, 800)) and sets savedSuccess = true without calling partnerApi.updateProfile() or any HTTP endpoint.

[STEPS TO REPRODUCE]
1. Open Partner Portal -> Gym Profile.
2. Change Monthly Pricing to 2500 and toggle Sauna / Steam amenity.
3. Click ""Save Profile"".
4. Green success notification appears.
5. Reload page -> Monthly Pricing and amenities revert to original values.

[EXPECTED BEHAVIOR]
Form data should be transmitted via PUT/PATCH request to update gym and branch records in PostgreSQL.

[ACTUAL BEHAVIOR]
Submission executes an 800ms mock delay and drops all modified fields.

[PROPOSED RESOLUTION]
Implement partnerApi.updateGymProfile(payload) and invoke it inside handleSave with appropriate success and error handling."
"Spring Asynchronous Services Lack Dedicated ThreadPoolTaskExecutor Configuration","Improvement","Low","backend async","[SEVERITY & IMPACT]
P3 - Thread Exhaustion & JVM Stability.
Without a dedicated TaskExecutor bean, Spring Boot @EnableAsync defaults to SimpleAsyncTaskExecutor, creating an unpooled OS thread for every single asynchronous email, SMS, and notification execution.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/service/NotificationService.java
- fitempire-backend/src/main/java/com/fitempire/service/SmsService.java

[TECHNICAL ROOT CAUSE]
No ThreadPoolTaskExecutor bean is configured with core pool size, maximum pool size, queue capacity, and rejection policies to regulate asynchronous execution concurrency.

[STEPS TO REPRODUCE]
1. Trigger a broadcast notification to 2,500 users simultaneously.
2. Monitor JVM thread count via JConsole or actuator/metrics.
3. Thread count spikes to 2,500+ unpooled OS threads, risking OutOfMemoryError: unable to create native thread.

[EXPECTED BEHAVIOR]
Asynchronous tasks must run on a bounded thread pool with task queuing and graceful backpressure handling.

[ACTUAL BEHAVIOR]
Spring spawns unbounded individual threads on every async invocation.

[PROPOSED RESOLUTION]
Configure an AsyncConfig class with a ThreadPoolTaskExecutor bean (core: 10, max: 50, queueCapacity: 500, ThreadPoolExecutor.CallerRunsPolicy)."
"Mobile Store Lacks Offline Cache and Optimistic UI for Weak Connectivity","Improvement","Low","mobile store","[SEVERITY & IMPACT]
P3 - Mobile Usability & Retention Enhancement.
Gym members accessing the supplement and merchandise store in basements or gym dead zones encounter blank screens or prolonged loading spinners.

[AFFECTED FILES & LINES]
- fitempire-mobile/src/app/store.tsx

[TECHNICAL ROOT CAUSE]
store.tsx relies exclusively on online network fetches without offline cache fallback via AsyncStorage or React Query persistent storage.

[STEPS TO REPRODUCE]
1. Open FitEmpire store on mobile device while connected.
2. Enable Airplane mode.
3. Exit and re-enter store.
4. Screen displays empty state or connection failure error.

[EXPECTED BEHAVIOR]
Catalog categories, featured supplements, and merchandise should load from local cache with an ""Offline Mode"" banner.

[ACTUAL BEHAVIOR]
App displays empty screen when offline.

[PROPOSED RESOLUTION]
Cache fetched store catalogs in AsyncStorage or persist TanStack Query cache for instant offline rendering."
"High-Resolution Images in Workout Video Library Lack Fast Image Caching","Improvement","Low","mobile media","[SEVERITY & IMPACT]
P3 - Frame Drop & Memory Consumption on Budget Android Devices.
Workout video class listings in FitEmpire TV use standard React Native Image with large Unsplash URLs, causing memory spikes and dropped frames during fast scrolling.

[AFFECTED FILES & LINES]
- fitempire-mobile/src/app/tv.tsx (Lines 2, 24-40)

[TECHNICAL ROOT CAUSE]
Standard React Native Image lacks native memory/disk caching, downsampling, and hardware-accelerated decoding provided by expo-image.

[STEPS TO REPRODUCE]
1. Open FitEmpire TV workout screen on budget Android test device (3GB RAM).
2. Scroll rapidly through video catalog.
3. Notice visible frame rate stutter (< 30 FPS) and elevated heap usage.

[EXPECTED BEHAVIOR]
Smooth 60 FPS scrolling with disk-cached WebP thumbnails and progressive loading.

[ACTUAL BEHAVIOR]
Frame drops and memory pressure on low-end Android hardware.

[PROPOSED RESOLUTION]
Replace react-native Image with expo-image configured with disk caching and low-resolution thumbnail placeholders."
"Missing Envers Entity Revision Auditing on Financial and Pass Status Modifications","Improvement","Low","backend audit","[SEVERITY & IMPACT]
P3 - Audit Trail & Compliance Defect.
When administrators adjust wallet balances, process offline refunds, or alter membership validity dates, BaseEntity only records the latest modified timestamp and user, with no audit log of prior states.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/common/entity/BaseEntity.java
- fitempire-backend/src/main/resources/application.yml

[TECHNICAL ROOT CAUSE]
BaseEntity contains @LastModifiedDate and @LastModifiedBy, but the application lacks Hibernate Envers or dedicated audit delta tables to capture historic entity versions.

[STEPS TO REPRODUCE]
1. Admin modifies a customer wallet balance or extends membership end date.
2. Query database table -> Previous value is overwritten, leaving no historic trace of original balance or reason for change.

[EXPECTED BEHAVIOR]
Changes to financial and membership entities should produce immutable revision logs (_AUD tables) detailing altered fields, author, and timestamp.

[ACTUAL BEHAVIOR]
Prior entity values are lost on update.

[PROPOSED RESOLUTION]
Integrate spring-data-envers and annotate Wallet, Payment, and Membership entities with @Audited."
"Insecure Unauthenticated Password Reset Endpoint Exposed in Partner Login","Bug","High","frontend auth","[SEVERITY & IMPACT]
P1 - Account Takeover Risk.
Anyone visiting the partner portal login page can enter any gym partner email address and reset their password to Password@123 without OTP, email verification link, or old password check.

[AFFECTED FILES & LINES]
- fitempire-partner/src/pages/LoginPage.tsx (Lines 30-45)
- fitempire-partner/src/api/index.ts (Lines 93-95)

[TECHNICAL ROOT CAUSE]
handleResetPassword invokes partnerApi.resetPasswordByEmail(email, 'Password@123') against /admin/users/reset-password-by-email directly from the public login screen.

[STEPS TO REPRODUCE]
1. Open partner portal login page in an incognito window.
2. Type any partner email (e.g. partner@fitempire.tech).
3. Click ""Reset to Default Password"".
4. Prompt confirms password has been reset to Password@123.
5. Attacker signs in with Password@123 and takes over the partner account.

[EXPECTED BEHAVIOR]
Password resets must require timed verification tokens sent via secure email or SMS OTP.

[ACTUAL BEHAVIOR]
Instant unauthenticated password overwrite with no validation.

[PROPOSED RESOLUTION]
Remove the public reset shortcut from LoginPage. Implement a secure forgot-password flow requiring email token verification."
"Race Condition in Coupon Usage Limit During Concurrent Flash Sales","Bug","Medium","backend coupons","[SEVERITY & IMPACT]
P2 - Financial Over-Discounting Risk.
When a promotional coupon with a restricted usage limit (e.g. first 50 users receive ₹500 off) is targeted during high-traffic flash sales, concurrent checkout requests bypass the usage check, allowing usage to exceed limits.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/modules/coupons/service/CouponService.java (Lines 118-120, 149-167)

[TECHNICAL ROOT CAUSE]
validateAndCalculateDiscount checks coupon.getUsedCount() >= coupon.getUsageLimit() without a pessimistic database lock or version check. Concurrent requests read stale usedCount values simultaneously before incrementing.

[STEPS TO REPRODUCE]
1. Create a coupon with usageLimit = 10.
2. Send 50 concurrent checkout requests with the coupon code using k6 or Apache JMeter.
3. Check coupon record in database -> usedCount exceeds 10 (e.g. 25-40 usages recorded).

[EXPECTED BEHAVIOR]
Coupon usage must be strictly constrained to usageLimit even under high concurrency.

[ACTUAL BEHAVIOR]
Concurrent requests bypass the check and inflate coupon usage beyond specified limit.

[PROPOSED RESOLUTION]
Acquire a pessimistic lock on the coupon row (@Lock(LockModeType.PESSIMISTIC_WRITE)) or execute atomic conditional increments: UPDATE coupons SET used_count = used_count + 1 WHERE id = :id AND used_count < usage_limit."
"Android 12+ Splash Screen Theme Discrepancy Causes Bright Blue Flash on Launch","Improvement","Low","mobile ui","[SEVERITY & IMPACT]
P3 - Visual Polish & Dark Mode Aesthetic.
The mobile app cold launches with an electric blue (#208AEF) splash screen on Android 12+, contrasting harshly with the deep dark (#070B14) interface theme upon loading.

[AFFECTED FILES & LINES]
- fitempire-mobile/app.json (Lines 41-48)

[TECHNICAL ROOT CAUSE]
The expo-splash-screen configuration in app.json specifies backgroundColor: ""#208AEF"" instead of aligning with the app brand dark palette (#070B14).

[STEPS TO REPRODUCE]
1. Install release build on an Android 12+ device with system Dark Theme enabled.
2. Cold launch FitEmpire app from the launcher.
3. Screen flashes bright blue for 1 second before abruptly rendering the near-black UI.

[EXPECTED BEHAVIOR]
Seamless dark splash matching #070B14 theme with centered branding icon.

[ACTUAL BEHAVIOR]
Harsh bright blue screen flash jarring to user eyes in dark environments.

[PROPOSED RESOLUTION]
Update expo-splash-screen backgroundColor in app.json to #070B14 and configure dark splash styles."
